filename,true_label,pred_label,confidence,text_source,alpha,extracted_text
neutral_736.jpg,Neutral,Neutral,0.8415574,OCR,0.5,"BACKROOMS
100+ Levels"
neutral_678.jpg,Neutral,Neutral,0.8334006,OCR,0.5,"Did You Know?
A spark of static electricity
can measure up to 3,000
volts.
Quail
ELECTRONICS"
neutral_717.jpg,Neutral,Neutral,0.9021013,OCR,0.5,"+ SHAPES
El.
Elanguages
circle
triangle
rectangle
oval
heart
square
pentagon
hexagon
heptagon
octagon parallelogram right triangle
+
star
drop
cross
cube
cone
cylinder"
negative_759.jpg,Negative,Negative,0.95506656,OCR,0.5,"INV
Maharashtra: Fire
breaks out in 5-storey
building in Mumbai's
Jhaveri Bazar area"
positive_158.jpeg,Positive,Positive,0.9115876,OCR,0.5,"Rabindranath
Tagore Jayanti
Best Birthday Wishes
CBestmessage.org"
negative_629.jpeg,Negative,Negative,0.9652873,OCR,0.5,"Cyclone Amphan
causes widespread
destruction in West Bengal
PTC
NEWS"
negative_729.jpg,Negative,Negative,0.9458952,OCR,0.5,"GOVT DEPLOYS FORCES
AHEAD OF LANDFALL
TIMES
NOW"
neutral_727.jpg,Neutral,Neutral,0.8065151,OCR,0.5,The Spartan Training System
neutral_213.jpg,Neutral,Neutral,0.9259286,OCR,0.5,"CREATING A
FACEBOOK
POST
Ir's
WORLD
REFUGEE
CHRISTMAS
Canva
Votional lood
Tea Day
FREAKY
FRIDAY"
negative_782.jpg,Negative,Negative,0.9785719,OCR,0.5,"SEOUL SHANTY
TOWN FIRE
18
NEWS
Click"
neutral_808.jpg,Neutral,Neutral,0.79851615,OCR,0.5,"HOW JAPAN BEGAN
2000BC 248 604 1000 1274"
negative_476.jpeg,Negative,Negative,0.97508574,OCR,0.5,KERALA FLOODS
negative_188.jpg,Negative,Negative,0.9686822,OCR,0.5,"R. FIRE IN MUMBAI HIGH RISE
R. ALISHA LIVE FROM TARDEO, MUMBAI
REPUBLIC."
neutral_900.jpg,Neutral,Neutral,0.88054335,OCR,0.5,"BREAKING
THE
SOUND
BARRIER
TEDED"
neutral_198.jpg,Neutral,Neutral,0.803188,OCR,0.5,"FUNKAARIYAN
Help
me
i am
huawei
user"
positive_984.jpg,Positive,Positive,0.9688195,OCR,0.5,"The two
most important
days in your
life are the
day you
are born
and the day
you find
out why.
Mark Twain
List Inspire"
positive_301.jpeg,Positive,Positive,0.96064454,OCR,0.5,"Do not worry about anything because
there is nothing that belongs to you.
Everything is temporary.
~Adeep"
neutral_119.jpeg,Neutral,Neutral,0.79703707,OCR,0.5,"Bodybuilder
Programmer"
neutral_824.jpg,Neutral,Neutral,0.7168932,OCR,0.5,"VIKING BRITAIN
HOW ENGLAND
WAS MADE
865-937"
positive_525.jpeg,Positive,Positive,0.6872401,OCR,0.5,"HRDC
PROFESSIONAL
She supported him when
he had nothing
Pov
Star
Av
Now she is with him when
he has everything
This is how you define the
loyalty of a woman"
neutral_414.jpeg,Neutral,Neutral,0.9173256,OCR,0.5,"This guy knows all
our secrets
18
Sarcasm"
positive_223.jpeg,Positive,Positive,0.98691154,OCR,0.5,"When
you wish good for
others, good things
come back to you.
This is the law
of nature.
(Wonders Dairy)"
positive_297.jpeg,Positive,Positive,0.97408605,OCR,0.5,"Don't pretend to be a good person
Just be who you are.
~Adeep"
positive_728.jpg,Positive,Positive,0.9807277,OCR,0.5,"m3
ल
m
The art of
being happy is
to be satisfied
with what you
have."
