filename,filepath,text-detected,OCR,coordinates,img_ar,img_or,img_area,txt_ar,txt_or,txt_area,txt_img_ratio,sentiment
negative_001.jpg,/kaggle/input/musait/dataset/basket/negative_001.jpg,1,"STOP WAR
UKRAINE
IN
Слава Україні!
MAKE
NOT","[{'x': 513, 'y': 24}, {'x': 975, 'y': 24}, {'x': 975, 'y': 263}, {'x': 513, 'y': 263}]",16:9,horizontal,535824,16:9,horizontal,110418,0.2060713965779808,negative
negative_002.jpg,/kaggle/input/musait/dataset/basket/negative_002.jpg,1,"HUNDREDS
KILLED IN
UKRAINE
>NEWS
NIGHTLY AT 6","[{'x': 20, 'y': 61}, {'x': 508, 'y': 61}, {'x': 508, 'y': 704}, {'x': 20, 'y': 704}]",16:9,horizontal,921600,3:4,vertical,313784,0.3404774305555555,negative
negative_003.jpg,/kaggle/input/musait/dataset/basket/negative_003.jpg,0,,[],16:9,horizontal,810000,,,0,0.0,negative
negative_004.jpg,/kaggle/input/musait/dataset/basket/negative_004.jpg,0,,[],4:3,horizontal,50246,,,0,0.0,negative
negative_005.jpg,/kaggle/input/musait/dataset/basket/negative_005.jpg,1,"HUNDREDS
KILLED IN
UKRAINE
>NEWS
NIGHTLY AT 6","[{'x': 20, 'y': 61}, {'x': 508, 'y': 61}, {'x': 508, 'y': 704}, {'x': 20, 'y': 704}]",16:9,horizontal,921600,3:4,vertical,313784,0.3404774305555555,negative
negative_006.jpg,/kaggle/input/musait/dataset/basket/negative_006.jpg,1,"R. TURKEY TO HOST TALKS?
WORLD
AT WAR
R. BREAKING
NEWS
ZELENSKYY:
NATO ALLOWING
BOMBINGS IN
UKR
DAY 10 OF RUSSIAN OFFENSIVE
RUSSIA CLAIMS UKRAINE PRESIDENT FLED TO POLAND","[{'x': 62, 'y': 28}, {'x': 641, 'y': 28}, {'x': 641, 'y': 326}, {'x': 62, 'y': 326}]",16:9,horizontal,292320,16:9,horizontal,172542,0.5902504105090312,negative
negative_007.jpg,/kaggle/input/musait/dataset/basket/negative_007.jpg,1,"UKRAINE UNDER ATTACK
RUSSIAN SHELLING IN OKHTYRKA
INDIA
TODAY","[{'x': 27, 'y': 7}, {'x': 308, 'y': 7}, {'x': 308, 'y': 40}, {'x': 27, 'y': 40}]",16:9,horizontal,57600,Other,other,9273,0.1609895833333333,negative
negative_008.jpg,/kaggle/input/musait/dataset/basket/negative_008.jpg,1,"VIS
AP","[{'x': 704, 'y': 205}, {'x': 951, 'y': 205}, {'x': 951, 'y': 630}, {'x': 704, 'y': 630}]",3:2,horizontal,614400,2:3,vertical,104975,0.1708577473958333,negative
negative_009.jpg,/kaggle/input/musait/dataset/basket/negative_009.jpg,0,,[],16:9,horizontal,50232,,,0,0.0,negative
negative_010.jpg,/kaggle/input/musait/dataset/basket/negative_010.jpg,1,"UKRAINE UNDER ATTACK
RUSSIAN SHELLING IN OKHTYRKA
INDIA
TODAY","[{'x': 27, 'y': 7}, {'x': 308, 'y': 7}, {'x': 308, 'y': 40}, {'x': 27, 'y': 40}]",16:9,horizontal,57600,Other,other,9273,0.1609895833333333,negative
negative_011.jpg,/kaggle/input/musait/dataset/basket/negative_011.jpg,1,"REPRINT BROUGHT TO YOU BY M-C ASSOCIATES
WAR EXTRA
BALTIMORE
HANGING
NEWS-POST
THE
ENDENT
APER
The
Largest
Evening
Circulation
in
the
Entire
VOL. CXL.-NO. 28
Entered a second-class matter at Baltimore Postoffice,
MONDAY, DECEMBER 8, 1941
South
PRICE 3 CENTS
JAPS BOMB
U. S. ISLANDS
II
M 1 Attached","[{'x': 155, 'y': 365}, {'x': 2504, 'y': 365}, {'x': 2504, 'y': 1749}, {'x': 155, 'y': 1749}]",4:3,horizontal,4915200,Other,other,3251016,0.6614208984375,negative
negative_012.jpg,/kaggle/input/musait/dataset/basket/negative_012.jpg,1,"J&K: 7 ARMY PERSONNEL
KILLED SINCE MONDAY","[{'x': 117, 'y': 369}, {'x': 557, 'y': 369}, {'x': 557, 'y': 433}, {'x': 117, 'y': 433}]",4:3,horizontal,307200,Other,other,28160,0.0916666666666666,negative
negative_013.jpg,/kaggle/input/musait/dataset/basket/negative_013.jpg,0,,[],Other,other,50575,,,0,0.0,negative
negative_014.jpg,/kaggle/input/musait/dataset/basket/negative_014.jpg,0,,[],3:2,horizontal,50478,,,0,0.0,negative
negative_015.jpg,/kaggle/input/musait/dataset/basket/negative_015.jpg,1,"J&K: 7 ARMY PERSONNEL
KILLED SINCE MONDAY","[{'x': 117, 'y': 369}, {'x': 557, 'y': 369}, {'x': 557, 'y': 434}, {'x': 117, 'y': 434}]",4:3,horizontal,307200,Other,other,28600,0.0930989583333333,negative
negative_016.jpg,/kaggle/input/musait/dataset/basket/negative_016.jpg,1,"Copyrighterl
The Des Moines Register JAPAN DECLARES WAR
ACTION LIKELY IN PACIFIC ON U. S. AND BRITAIN
JAPANES PRESS COMMENTS
EXTRA BALTIMORE
EWS-POST
EXTRA
JAPS BOMB PEARL
PEARL MANILA
HARBOR
Extra
A Newspaper Account of the
United States' Entry into World War II
from the Erie C. Caren Collection
YOU ASKED FOR IT_
JAPAN!
Japan Times & Honolulu Star-Bulletin 1 EXTRA
Brilliant War Resu
SAN FRANCISCO, Dec. 7.-Pres-
ident Roosevelt anseunced this
morning that Japanese planes had
attacked Manila and Pearl Harbor.
WAR!
OAHU BOMBED BY
JAPANESE PLANES
SIX KNOWN DEAD, 21 INJURED, AT EMERGENCY HOSPITAL
Attash
ate
Defense Areas
Hundreds See
City Bombed","[{'x': 0, 'y': 0}, {'x': 374, 'y': 0}, {'x': 374, 'y': 497}, {'x': 0, 'y': 497}]",3:4,vertical,187500,3:4,vertical,185878,0.9913493333333332,negative
negative_017.jpg,/kaggle/input/musait/dataset/basket/negative_017.jpg,1,"CYCLONE
AMPHAN
INDIATV
indiatvnews.com","[{'x': 210, 'y': 17}, {'x': 707, 'y': 17}, {'x': 707, 'y': 274}, {'x': 210, 'y': 274}]",16:9,horizontal,287430,16:9,horizontal,127729,0.4443829802038757,negative
negative_018.jpg,/kaggle/input/musait/dataset/basket/negative_018.jpg,0,,[],4:3,horizontal,50430,,,0,0.0,negative
negative_019.jpg,/kaggle/input/musait/dataset/basket/negative_019.jpg,0,,[],3:2,horizontal,50374,,,0,0.0,negative
negative_020.jpg,/kaggle/input/musait/dataset/basket/negative_020.jpg,1,"CYCLONE
AMPHAN
INDIATV
indiatvnews.com","[{'x': 210, 'y': 17}, {'x': 707, 'y': 17}, {'x': 707, 'y': 274}, {'x': 210, 'y': 274}]",16:9,horizontal,287430,16:9,horizontal,127729,0.4443829802038757,negative
negative_021.jpeg,/kaggle/input/musait/dataset/basket/negative_021.jpeg,1,"SINK 3 SHIPS OFF TOKIO
R
22 DEAD ON PLANE
Carole Lombard, 15 Army Fliers Victims
STAR
BACK
SubRAF in
3
Malaya
Ships Me A Rips laps
POSSE FINDS
BURNED WRECK
OF LA AIRLINER","[{'x': 13, 'y': 20}, {'x': 235, 'y': 20}, {'x': 235, 'y': 180}, {'x': 13, 'y': 180}]",4:3,horizontal,50451,4:3,horizontal,35520,0.7040494737468038,negative
negative_022.jpg,/kaggle/input/musait/dataset/basket/negative_022.jpg,1,"obc NEWS SPECIAL REPORT
TWO BOMB EXPLOSIONS AT
THE BOSTON MARATHON
adidas","[{'x': 56, 'y': 448}, {'x': 703, 'y': 448}, {'x': 703, 'y': 598}, {'x': 56, 'y': 598}]",4:3,horizontal,479400,Other,other,97050,0.2024405506883604,negative
negative_023.jpeg,/kaggle/input/musait/dataset/basket/negative_023.jpeg,1,"SINK 3 SHIPS OFF TOKIO
R
22 DEAD ON PLANE
Carole Lombard, 15 Army Fliers Victims
STAR
BACK
SubRAF in
3
Malaya
Ships Me A Rips laps
POSSE FINDS
BURNED WRECK
OF LA AIRLINER","[{'x': 13, 'y': 20}, {'x': 235, 'y': 20}, {'x': 235, 'y': 180}, {'x': 13, 'y': 180}]",4:3,horizontal,50451,4:3,horizontal,35520,0.7040494737468038,negative
negative_024.jpg,/kaggle/input/musait/dataset/basket/negative_024.jpg,0,,[],3:2,horizontal,233172,,,0,0.0,negative
negative_025.jpg,/kaggle/input/musait/dataset/basket/negative_025.jpg,0,,[],4:3,horizontal,50233,,,0,0.0,negative
negative_026.jpeg,/kaggle/input/musait/dataset/basket/negative_026.jpeg,1,"BALTIMORE NEWS-POST NIGHT
RACE SPECIAL
GERMANY. ITALY
DECLARE WAR ON
UNITED STATES
-
alamy
alamy
Masing Hit Set Ablesey
By Banker!
BULLETIN","[{'x': 0, 'y': 1}, {'x': 258, 'y': 1}, {'x': 258, 'y': 186}, {'x': 0, 'y': 186}]",4:3,horizontal,50304,4:3,horizontal,47730,0.948831106870229,negative
